12 message[Mon, 19 Jan 2026 16:07:24 +0300] Try 23 start server...
[Mon, 19 Jan 2026 16:07:24 +0300] Server is running...
[Mon, 19 Jan 2026 16:07:24 +0300] Waiting for connections...
[Mon, 19 Jan 2026 16:07:52 +0300] New connection accepted
[Mon, 19 Jan 2026 16:07:52 +0300] Waiting for connections...
[Mon, 19 Jan 2026 16:07:58 +0300] Получено сообщение 325 от клиента: weerrtt
[Mon, 19 Jan 2026 16:07:58 +0300] Waiting for connections...
[Mon, 19 Jan 2026 16:08:02 +0300] Connection closing
[Mon, 19 Jan 2026 16:08:02 +0300] Closed successfully
[Mon, 19 Jan 2026 16:08:02 +0300] Waiting for connections...
[Mon, 19 Jan 2026 20:56:20 +0300] Try 23 start server...
[Mon, 19 Jan 2026 20:56:20 +0300] Server is running...
[Mon, 19 Jan 2026 20:56:20 +0300] Waiting for connections...
[Mon, 19 Jan 2026 20:56:30 +0300] Try 23 start server...
[Mon, 19 Jan 2026 20:56:30 +0300] Server is running...
[Mon, 19 Jan 2026 20:56:30 +0300] Waiting for connections...
[Mon, 19 Jan 2026 20:57:11 +0300] Try 23 start server...
[Mon, 19 Jan 2026 20:57:11 +0300] Server is running...
[Mon, 19 Jan 2026 20:57:11 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:02:44 +0300] Try 23 start server...
[Mon, 19 Jan 2026 21:02:44 +0300] Server is running...
[Mon, 19 Jan 2026 21:02:44 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:06:27 +0300] Try 23 start server...
[Mon, 19 Jan 2026 21:06:27 +0300] Server is running...
[Mon, 19 Jan 2026 21:06:27 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:10:01 +0300] New connection accepted
[Mon, 19 Jan 2026 21:10:01 +0300] Time limit. Stopping server.
[Mon, 19 Jan 2026 21:10:01 +0300] stopServer()
[Mon, 19 Jan 2026 21:10:11 +0300] stopServer()
[Mon, 19 Jan 2026 21:10:16 +0300] __destruct()
[Mon, 19 Jan 2026 21:11:04 +0300] Try 23 start server...
[Mon, 19 Jan 2026 21:11:04 +0300] Server is running...
[Mon, 19 Jan 2026 21:11:04 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:11:20 +0300] New connection accepted
[Mon, 19 Jan 2026 21:11:20 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:11:38 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:11:55 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:12:03 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:12:27 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:13:39 +0300] Try 23 start server...
[Mon, 19 Jan 2026 21:13:39 +0300] Server is running...
[Mon, 19 Jan 2026 21:13:39 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:13:50 +0300] New connection accepted
[Mon, 19 Jan 2026 21:13:50 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:14:07 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:16:05 +0300] Try 23 start server...
[Mon, 19 Jan 2026 21:16:05 +0300] Server is running...
[Mon, 19 Jan 2026 21:16:05 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:16:07 +0300] New connection accepted
[Mon, 19 Jan 2026 21:16:07 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:16:16 +0300] Waiting for connections...
[Mon, 19 Jan 2026 21:16:24 +0300] Connection closing
[Mon, 19 Jan 2026 21:16:24 +0300] Closed successfully
[Mon, 19 Jan 2026 21:16:24 +0300] Waiting for connections...
